n,method,tile,block_rows,avg_kernel_time_ms,effective_bandwidth_GBps,correct
512,naive,8,8,0.0073,288.3872,yes
512,shared,8,8,0.0085,245.3154,yes
512,shared,8,4,0.0111,189.6296,yes
512,shared,8,8,0.0085,246.9794,yes
512,naive,16,16,0.0080,261.3599,yes
512,shared,16,16,0.0085,246.7470,yes
512,shared,16,8,0.0064,328.2545,yes
512,shared,16,8,0.0064,327.6800,yes
512,naive,32,32,0.0266,78.7692,yes
512,shared,32,32,0.0125,167.8689,yes
512,shared,32,16,0.0069,303.4074,yes
512,shared,32,8,0.0054,386.9855,yes
1024,naive,8,8,0.0238,353.1034,yes
1024,shared,8,8,0.0288,291.5303,yes
1024,shared,8,4,0.0380,220.8458,yes
1024,shared,8,8,0.0288,291.5303,yes
1024,naive,16,16,0.0241,347.8556,yes
1024,shared,16,16,0.0291,288.4507,yes
1024,shared,16,8,0.0202,414.7848,yes
1024,shared,16,8,0.0202,415.8375,yes
1024,naive,32,32,0.1008,83.2520,yes
1024,shared,32,32,0.0452,185.7596,yes
1024,shared,32,16,0.0225,373.2118,yes
1024,shared,32,8,0.0154,546.1333,yes
2048,naive,8,8,0.0895,374.7189,yes
2048,shared,8,8,0.1100,304.9604,yes
2048,shared,8,4,0.1461,229.7091,yes
2048,shared,8,8,0.1099,305.3868,yes
2048,naive,16,16,0.0940,357.1444,yes
2048,shared,16,16,0.1117,300.4860,yes
2048,shared,16,8,0.0751,447.0396,yes
2048,shared,16,8,0.0751,447.0396,yes
2048,naive,32,32,0.3958,84.7718,yes
2048,shared,32,32,0.1765,190.0696,yes
2048,shared,32,16,0.0846,396.7070,yes
2048,shared,32,8,0.0582,576.8696,yes
