m,n,k,kernel,block,warmup,repeat,kernel_ms,total_ms,gflops,max_sample_abs_error,max_sample_rel_error,verify
128,128,128,naive,8,2,10,0.010163,77.146421,412.695,1.781e-06,9.102e-07,PASS
128,128,128,tiled,8,2,10,0.011674,66.387463,359.298,1.781e-06,9.102e-07,PASS
128,128,128,coarsened,8,2,10,0.009021,98.637914,464.959,1.781e-06,9.102e-07,PASS
128,128,128,naive,16,2,10,0.008499,65.466209,493.494,1.781e-06,9.102e-07,PASS
128,128,128,tiled,16,2,10,0.010138,80.733418,413.737,1.781e-06,9.102e-07,PASS
128,128,128,coarsened,16,2,10,0.010358,76.147558,404.918,1.781e-06,9.102e-07,PASS
128,128,128,naive,32,2,10,0.010445,84.240204,401.569,1.781e-06,9.102e-07,PASS
128,128,128,tiled,32,2,10,0.011491,81.415661,365.001,1.781e-06,9.102e-07,PASS
128,128,128,coarsened,32,2,10,0.016077,78.841628,260.892,1.781e-06,9.102e-07,PASS
256,256,256,naive,8,2,10,0.063488,70.497736,528.516,4.286e-06,2.641e-06,PASS
256,256,256,tiled,8,2,10,0.062045,95.869338,540.810,4.286e-06,2.641e-06,PASS
256,256,256,coarsened,8,2,10,0.047408,77.200100,707.780,4.286e-06,2.641e-06,PASS
256,256,256,naive,16,2,10,0.046157,74.257031,726.966,4.286e-06,2.641e-06,PASS
256,256,256,tiled,16,2,10,0.053434,80.504596,627.965,4.286e-06,2.641e-06,PASS
256,256,256,coarsened,16,2,10,0.044339,92.962913,756.767,4.286e-06,2.641e-06,PASS
256,256,256,naive,32,2,10,0.048845,68.141688,686.960,4.286e-06,2.641e-06,PASS
256,256,256,tiled,32,2,10,0.062138,70.565247,540.002,4.286e-06,2.641e-06,PASS
256,256,256,coarsened,32,2,10,0.059187,63.337186,566.920,4.286e-06,2.641e-06,PASS
512,512,512,naive,8,2,10,0.447706,73.747626,599.580,9.945e-06,2.683e-06,PASS
512,512,512,tiled,8,2,10,0.434278,98.754507,618.118,9.945e-06,2.683e-06,PASS
512,512,512,coarsened,8,2,10,0.328586,79.113972,816.942,9.945e-06,2.683e-06,PASS
512,512,512,naive,16,2,10,0.323174,87.577326,830.621,9.945e-06,2.683e-06,PASS
512,512,512,tiled,16,2,10,0.367411,77.930261,730.613,9.945e-06,2.683e-06,PASS
512,512,512,coarsened,16,2,10,0.282646,69.161644,949.722,9.945e-06,2.683e-06,PASS
512,512,512,naive,32,2,10,0.327363,74.498496,819.993,9.945e-06,2.683e-06,PASS
512,512,512,tiled,32,2,10,0.441334,73.858193,608.236,9.945e-06,2.683e-06,PASS
512,512,512,coarsened,32,2,10,0.343734,69.263337,780.939,9.945e-06,2.683e-06,PASS
1024,1024,1024,naive,8,2,10,3.505766,113.098247,612.558,2.494e-05,1.078e-05,PASS
1024,1024,1024,tiled,8,2,10,3.812224,115.722605,563.315,2.494e-05,1.078e-05,PASS
1024,1024,1024,coarsened,8,2,10,2.872109,107.600741,747.703,2.494e-05,1.078e-05,PASS
1024,1024,1024,naive,16,2,10,2.833197,104.597642,757.972,2.494e-05,1.078e-05,PASS
1024,1024,1024,tiled,16,2,10,3.208602,120.539832,669.290,2.494e-05,1.078e-05,PASS
1024,1024,1024,coarsened,16,2,10,2.416333,108.510126,888.737,2.494e-05,1.078e-05,PASS
1024,1024,1024,naive,32,2,10,2.836253,110.424628,757.155,2.494e-05,1.078e-05,PASS
1024,1024,1024,tiled,32,2,10,3.416064,114.922306,628.643,2.494e-05,1.078e-05,PASS
1024,1024,1024,coarsened,32,2,10,2.497434,97.311969,859.876,2.494e-05,1.078e-05,PASS
2048,2048,2048,naive,8,2,10,25.855692,392.914499,664.452,4.119e-05,5.746e-06,PASS
2048,2048,2048,tiled,8,2,10,24.402964,377.226008,704.007,4.119e-05,5.746e-06,PASS
2048,2048,2048,coarsened,8,2,10,18.439547,288.563078,931.686,4.119e-05,5.746e-06,PASS
2048,2048,2048,naive,16,2,10,17.996698,283.462351,954.612,4.119e-05,5.746e-06,PASS
2048,2048,2048,tiled,16,2,10,20.369701,309.370599,843.403,4.119e-05,5.746e-06,PASS
2048,2048,2048,coarsened,16,2,10,15.263948,259.144013,1125.519,4.119e-05,5.746e-06,PASS
2048,2048,2048,naive,32,2,10,17.949352,295.336585,957.130,4.119e-05,5.746e-06,PASS
2048,2048,2048,tiled,32,2,10,21.827276,366.290544,787.083,4.119e-05,5.746e-06,PASS
2048,2048,2048,coarsened,32,2,10,15.691559,261.660432,1094.848,4.119e-05,5.746e-06,PASS
