method,height,width,channels,filters,kernel,stride,padding,block_x,block_y,output_height,output_width,warmup,runs,mean_ms,min_ms,max_ms,gflops,verified,status
direct,256,256,3,3,3,1,0,8,8,254,254,3,10,0.024915,0.024448,0.025600,419.486574,true,ok
direct-shared,256,256,3,3,3,1,0,8,8,254,254,3,10,0.028070,0.027648,0.028672,372.334985,true,ok
direct,256,256,3,3,3,1,0,16,16,254,254,3,10,0.020582,0.019456,0.021504,507.792685,true,ok
direct-shared,256,256,3,3,3,1,0,16,16,254,254,3,10,0.029552,0.028672,0.029696,353.667833,true,ok
direct,256,256,3,3,3,1,0,32,8,254,254,3,10,0.020902,0.020480,0.021504,500.018761,true,ok
direct-shared,256,256,3,3,3,1,0,32,8,254,254,3,10,0.031110,0.029504,0.040960,335.951708,true,ok
direct,256,256,3,3,3,1,0,32,16,254,254,3,10,0.021392,0.020480,0.022528,488.574796,true,ok
direct-shared,256,256,3,3,3,1,0,32,16,254,254,3,10,0.033677,0.032768,0.033792,310.349913,true,ok
im2col,256,256,3,3,3,1,0,16,16,254,254,3,10,0.144054,0.143360,0.144384,72.553091,true,ok
cudnn,256,256,3,3,3,1,0,0,0,254,254,3,10,0.138237,0.128000,0.165024,75.606439,true,ok
direct,256,256,3,3,3,1,1,8,8,256,256,3,10,0.025389,0.024576,0.026624,418.169902,true,ok
direct-shared,256,256,3,3,3,1,1,8,8,256,256,3,10,0.028067,0.027648,0.029696,378.264733,true,ok
direct,256,256,3,3,3,1,1,16,16,256,256,3,10,0.020474,0.019552,0.021504,518.562056,true,ok
direct-shared,256,256,3,3,3,1,1,16,16,256,256,3,10,0.029130,0.028672,0.029728,364.468857,true,ok
direct,256,256,3,3,3,1,1,32,8,256,256,3,10,0.019907,0.019456,0.021312,533.316198,true,ok
direct-shared,256,256,3,3,3,1,1,32,8,256,256,3,10,0.028893,0.027808,0.029696,367.455972,true,ok
direct,256,256,3,3,3,1,1,32,16,256,256,3,10,0.020131,0.019456,0.020640,527.381979,true,ok
direct-shared,256,256,3,3,3,1,1,32,16,256,256,3,10,0.031408,0.030720,0.032768,338.029551,true,ok
im2col,256,256,3,3,3,1,1,16,16,256,256,3,10,0.147322,0.146432,0.148320,72.065684,true,ok
cudnn,256,256,3,3,3,1,1,0,0,256,256,3,10,0.084141,0.082944,0.084992,126.179359,true,ok
direct,256,256,3,3,3,2,0,8,8,127,127,3,10,0.012198,0.011232,0.018528,214.200057,true,ok
direct-shared,256,256,3,3,3,2,0,8,8,127,127,3,10,0.015939,0.015168,0.017120,163.929057,true,ok
direct,256,256,3,3,3,2,0,16,16,127,127,3,10,0.009930,0.009216,0.011264,263.142320,true,ok
direct-shared,256,256,3,3,3,2,0,16,16,127,127,3,10,0.015571,0.014336,0.016384,167.803254,true,ok
direct,256,256,3,3,3,2,0,32,8,127,127,3,10,0.010307,0.009504,0.011264,253.502215,true,ok
direct-shared,256,256,3,3,3,2,0,32,8,127,127,3,10,0.016064,0.014336,0.020480,162.655505,true,ok
direct,256,256,3,3,3,2,0,32,16,127,127,3,10,0.009395,0.009152,0.010176,278.109880,true,ok
direct-shared,256,256,3,3,3,2,0,32,16,127,127,3,10,0.015648,0.015360,0.016384,166.979683,true,ok
im2col,256,256,3,3,3,2,0,16,16,127,127,3,10,0.042294,0.041984,0.044032,61.778818,true,ok
cudnn,256,256,3,3,3,2,0,0,0,127,127,3,10,0.045034,0.043936,0.046080,58.021077,true,ok
direct,256,256,3,3,3,2,1,8,8,128,128,3,10,0.009597,0.009184,0.010240,276.572186,true,ok
direct-shared,256,256,3,3,3,2,1,8,8,128,128,3,10,0.014170,0.014016,0.014336,187.317074,true,ok
direct,256,256,3,3,3,2,1,16,16,128,128,3,10,0.009600,0.008096,0.021504,276.480000,true,ok
direct-shared,256,256,3,3,3,2,1,16,16,128,128,3,10,0.013139,0.012448,0.013312,202.006820,true,ok
direct,256,256,3,3,3,2,1,32,8,128,128,3,10,0.008048,0.007328,0.008256,329.797220,true,ok
direct-shared,256,256,3,3,3,2,1,32,8,128,128,3,10,0.013267,0.012992,0.013312,200.057889,true,ok
direct,256,256,3,3,3,2,1,32,16,128,128,3,10,0.007370,0.007168,0.008192,360.156313,true,ok
direct-shared,256,256,3,3,3,2,1,32,16,128,128,3,10,0.013680,0.013312,0.014336,194.021053,true,ok
im2col,256,256,3,3,3,2,1,16,16,128,128,3,10,0.040752,0.039936,0.040960,65.130743,true,ok
cudnn,256,256,3,3,3,2,1,0,0,128,128,3,10,0.030822,0.030720,0.031680,86.112959,true,ok
direct,256,256,3,3,3,3,0,8,8,85,85,3,10,0.005408,0.005120,0.006112,216.429367,true,ok
direct-shared,256,256,3,3,3,3,0,8,8,85,85,3,10,0.011722,0.010976,0.016416,99.854115,true,ok
direct,256,256,3,3,3,3,0,16,16,85,85,3,10,0.006013,0.005120,0.006144,194.659723,true,ok
direct-shared,256,256,3,3,3,3,0,16,16,85,85,3,10,0.013462,0.013152,0.014240,86.942151,true,ok
direct,256,256,3,3,3,3,0,32,8,85,85,3,10,0.005926,0.005120,0.006144,197.497633,true,ok
direct-shared,256,256,3,3,3,3,0,32,8,85,85,3,10,0.012886,0.012288,0.013312,90.828315,true,ok
direct,256,256,3,3,3,3,0,32,16,85,85,3,10,0.006205,0.005888,0.006912,188.636212,true,ok
direct-shared,256,256,3,3,3,3,0,32,16,85,85,3,10,0.015654,0.015360,0.016384,74.768118,true,ok
im2col,256,256,3,3,3,3,0,16,16,85,85,3,10,0.020634,0.020416,0.021312,56.725439,true,ok
cudnn,256,256,3,3,3,3,0,0,0,85,85,3,10,0.023789,0.022528,0.027744,49.201725,true,ok
direct,256,256,3,3,3,3,1,8,8,86,86,3,10,0.006870,0.005376,0.015200,174.393335,true,ok
direct-shared,256,256,3,3,3,3,1,8,8,86,86,3,10,0.013062,0.012288,0.013312,91.725257,true,ok
direct,256,256,3,3,3,3,1,16,16,86,86,3,10,0.007677,0.007168,0.008224,156.074407,true,ok
direct-shared,256,256,3,3,3,3,1,16,16,86,86,3,10,0.015315,0.015168,0.015360,78.232868,true,ok
direct,256,256,3,3,3,3,1,32,8,86,86,3,10,0.007949,0.007168,0.008192,150.733695,true,ok
direct-shared,256,256,3,3,3,3,1,32,8,86,86,3,10,0.015248,0.014304,0.018432,78.577650,true,ok
direct,256,256,3,3,3,3,1,32,16,86,86,3,10,0.007776,0.007168,0.008192,154.083332,true,ok
direct-shared,256,256,3,3,3,3,1,32,16,86,86,3,10,0.017299,0.016384,0.017536,69.260544,true,ok
im2col,256,256,3,3,3,3,1,16,16,86,86,3,10,0.023530,0.022528,0.026624,50.921052,true,ok
cudnn,256,256,3,3,3,3,1,0,0,86,86,3,10,0.051309,0.050048,0.056320,23.351784,true,ok
direct,512,512,3,3,3,1,0,8,8,510,510,3,10,0.079270,0.078752,0.079872,531.550242,true,ok
direct-shared,512,512,3,3,3,1,0,8,8,510,510,3,10,0.090611,0.089088,0.092160,465.021980,true,ok
direct,512,512,3,3,3,1,0,16,16,510,510,3,10,0.062560,0.061440,0.064512,673.532618,true,ok
direct-shared,512,512,3,3,3,1,0,16,16,510,510,3,10,0.094810,0.094208,0.095232,444.429668,true,ok
direct,512,512,3,3,3,1,0,32,8,510,510,3,10,0.062109,0.061440,0.062464,678.425608,true,ok
direct-shared,512,512,3,3,3,1,0,32,8,510,510,3,10,0.093760,0.093184,0.094208,449.404856,true,ok
direct,512,512,3,3,3,1,0,32,16,510,510,3,10,0.061786,0.061440,0.062368,681.974445,true,ok
direct-shared,512,512,3,3,3,1,0,32,16,510,510,3,10,0.108394,0.107616,0.108544,388.733286,true,ok
im2col,512,512,3,3,3,1,0,16,16,510,510,3,10,0.569254,0.568512,0.569408,74.019982,true,ok
cudnn,512,512,3,3,3,1,0,0,0,510,510,3,10,0.155482,0.154624,0.156800,271.004419,true,ok
direct,512,512,3,3,3,1,1,8,8,512,512,3,10,0.079210,0.078848,0.079872,536.138662,true,ok
direct-shared,512,512,3,3,3,1,1,8,8,512,512,3,10,0.090080,0.089856,0.090112,471.440140,true,ok
direct,512,512,3,3,3,1,1,16,16,512,512,3,10,0.062448,0.062336,0.062464,680.043054,true,ok
direct-shared,512,512,3,3,3,1,1,16,16,512,512,3,10,0.095008,0.094208,0.095392,446.986854,true,ok
direct,512,512,3,3,3,1,1,32,8,512,512,3,10,0.062138,0.061440,0.062464,683.440115,true,ok
direct-shared,512,512,3,3,3,1,1,32,8,512,512,3,10,0.094592,0.094208,0.095232,448.952629,true,ok
direct,512,512,3,3,3,1,1,32,16,512,512,3,10,0.061933,0.061440,0.062464,685.700126,true,ok
direct-shared,512,512,3,3,3,1,1,32,16,512,512,3,10,0.108547,0.108480,0.108640,391.233751,true,ok
im2col,512,512,3,3,3,1,1,16,16,512,512,3,10,0.574733,0.574464,0.575488,73.890559,true,ok
cudnn,512,512,3,3,3,1,1,0,0,512,512,3,10,0.199558,0.156512,0.249856,212.806517,true,ok
direct,512,512,3,3,3,2,0,8,8,255,255,3,10,0.023450,0.022528,0.023552,449.220873,true,ok
direct-shared,512,512,3,3,3,2,0,8,8,255,255,3,10,0.040166,0.039936,0.040960,262.260255,true,ok
direct,512,512,3,3,3,2,0,16,16,255,255,3,10,0.018541,0.018432,0.019456,568.155085,true,ok
direct-shared,512,512,3,3,3,2,0,16,16,255,255,3,10,0.037818,0.036960,0.038016,278.548871,true,ok
direct,512,512,3,3,3,2,0,32,8,255,255,3,10,0.018288,0.017408,0.019264,576.008849,true,ok
direct-shared,512,512,3,3,3,2,0,32,8,255,255,3,10,0.037882,0.036864,0.038848,278.078264,true,ok
direct,512,512,3,3,3,2,0,32,16,255,255,3,10,0.018154,0.017408,0.018432,580.273322,true,ok
direct-shared,512,512,3,3,3,2,0,32,16,255,255,3,10,0.039072,0.038784,0.039808,269.606118,true,ok
im2col,512,512,3,3,3,2,0,16,16,255,255,3,10,0.145354,0.145152,0.145408,72.471888,true,ok
cudnn,512,512,3,3,3,2,0,0,0,255,255,3,10,0.063443,0.062592,0.064256,166.039074,true,ok
direct,512,512,3,3,3,2,1,8,8,256,256,3,10,0.024173,0.023552,0.024576,439.205715,true,ok
direct-shared,512,512,3,3,3,2,1,8,8,256,256,3,10,0.040269,0.039936,0.040864,263.649083,true,ok
direct,512,512,3,3,3,2,1,16,16,256,256,3,10,0.018307,0.017408,0.018432,579.926566,true,ok
direct-shared,512,512,3,3,3,2,1,16,16,256,256,3,10,0.037952,0.037728,0.038656,279.743671,true,ok
direct,512,512,3,3,3,2,1,32,8,256,256,3,10,0.018282,0.017408,0.018432,580.738652,true,ok
direct-shared,512,512,3,3,3,2,1,32,8,256,256,3,10,0.038077,0.037824,0.038720,278.826786,true,ok
direct,512,512,3,3,3,2,1,32,16,256,256,3,10,0.018214,0.017408,0.018432,582.881221,true,ok
direct-shared,512,512,3,3,3,2,1,32,16,256,256,3,10,0.038838,0.038624,0.038912,273.359155,true,ok
im2col,512,512,3,3,3,2,1,16,16,256,256,3,10,0.146419,0.146368,0.146432,72.509835,true,ok
cudnn,512,512,3,3,3,2,1,0,0,256,256,3,10,0.059274,0.058368,0.059392,179.115690,true,ok
direct,512,512,3,3,3,3,0,8,8,170,170,3,10,0.014262,0.013440,0.015360,328.261721,true,ok
direct-shared,512,512,3,3,3,3,0,8,8,170,170,3,10,0.033037,0.031744,0.039712,141.714695,true,ok
direct,512,512,3,3,3,3,0,16,16,170,170,3,10,0.012614,0.012224,0.013312,371.147259,true,ok
direct-shared,512,512,3,3,3,3,0,16,16,170,170,3,10,0.033968,0.033792,0.034720,137.829722,true,ok
direct,512,512,3,3,3,3,0,32,8,170,170,3,10,0.013286,0.013184,0.013312,352.375365,true,ok
direct-shared,512,512,3,3,3,3,0,32,8,170,170,3,10,0.036003,0.035680,0.036832,130.038438,true,ok
direct,512,512,3,3,3,3,0,32,16,170,170,3,10,0.013158,0.012288,0.013312,355.803140,true,ok
direct-shared,512,512,3,3,3,3,0,32,16,170,170,3,10,0.048285,0.035840,0.146144,96.962188,true,ok
im2col,512,512,3,3,3,3,0,16,16,170,170,3,10,0.068214,0.067552,0.068608,68.633601,true,ok
cudnn,512,512,3,3,3,3,0,0,0,170,170,3,10,0.037242,0.035840,0.038912,125.714255,true,ok
direct,512,512,3,3,3,3,1,8,8,171,171,3,10,0.012454,0.012288,0.013088,380.350871,true,ok
direct-shared,512,512,3,3,3,3,1,8,8,171,171,3,10,0.030557,0.029792,0.030720,155.024154,true,ok
direct,512,512,3,3,3,3,1,16,16,171,171,3,10,0.011712,0.011264,0.012288,404.460548,true,ok
direct-shared,512,512,3,3,3,3,1,16,16,171,171,3,10,0.032115,0.031744,0.032768,147.501560,true,ok
